site_id,name,town,x,y,fmt,sqft,opened_month,attract,true_visits,revenue
S001,Halewood Westway,Halewood,44.515600601670975,106.47332791757087,High Street,1268,61,1.1395033058135633,249599.0,1270700.0
S002,Stanbury Retail Park,Stanbury,183.93319107453718,93.94885118421905,Transport Hub,2823,55,1.5219116244779816,264681.0,1191000.0
S003,Ashcombe Market Square,Ashcombe,156.11263547400767,147.22968625668997,Retail Park,1205,22,1.4182501737716968,204484.0,1607300.0
S004,Ledbury Cross The Parade,Ledbury Cross,74.98170313443097,172.24102356160037,High Street,1923,85,1.4328100079556687,86373.0,393200.0
S005,Halewood Northgate,Halewood,43.56678126324046,106.31017535615555,High Street,1655,61,1.3192858333645465,212258.0,868500.0
S006,Pentworth The Parade,Pentworth,134.534806272574,23.47815943741462,Transport Hub,700,30,0.706809492130257,34968.0,190900.0
S007,Quarrydale The Parade,Quarrydale,119.51048790465398,111.28727524512365,High Street,1482,61,1.2415565687645085,181048.0,1141900.0
S008,Marlcombe Riverside,Marlcombe,201.45924707146474,160.17791658705931,High Street,2274,21,1.5712118764511251,271737.0,1741900.0
S009,Oakmere Riverside,Oakmere,26.564782652039167,53.2948304881086,High Street,1022,76,1.0120407334296797,215340.0,1662600.0
S010,Wrenfield Northgate,Wrenfield,116.25704948928846,57.40669882270485,Retail Park,2185,60,1.967470649689932,193540.0,1110200.0
S011,Marlcombe The Parade,Marlcombe,203.29920780573323,156.55416838674537,Transport Hub,1230,51,0.9637097715355042,113010.0,410500.0
S012,Tarnbrook High Street,Tarnbrook,96.0249287586237,132.50049769044944,High Street,1229,31,1.1200915878404247,532766.0,3041500.0
S013,Tarnbrook High Street 2,Tarnbrook,98.58051231034469,126.2287728653282,Retail Park,1579,15,1.6455843224029054,193786.0,1778000.0
S014,Tarnbrook Retail Park,Tarnbrook,98.95950688895606,129.18224522146923,High Street,2148,53,1.522715793969553,188826.0,1266900.0
S015,Ashcombe Westway,Ashcombe,147.72315183114668,144.14353171969722,Transport Hub,1292,56,0.9901314005959614,57467.0,178700.0
S016,Halewood Riverside,Halewood,45.852579393174324,106.39873589033976,Retail Park,1707,64,1.7176647623771137,232420.0,1702400.0
S017,Halewood Station,Halewood,44.71828304151869,102.9727320287954,High Street,1311,11,1.1605970983359075,181163.0,581500.0
S018,Wrenfield Retail Park,Wrenfield,121.13972703889438,65.17051444895726,High Street,1888,16,1.4184077465701435,220565.0,1635700.0
S019,Quarrydale High Street,Quarrydale,124.46637449465621,114.68404248827198,High Street,1651,81,1.3175311451228358,95419.0,594300.0
S020,Stanbury High Street,Stanbury,180.36539314463144,100.06012756739109,High Street,1701,37,1.3393293081778535,112936.0,642800.0
S021,Stanbury Station,Stanbury,183.3176784438015,96.27852785142453,High Street,1378,76,1.1928533914679127,169049.0,866400.0
S022,Quarrydale High Street 2,Quarrydale,130.6367279365878,108.92500901139508,High Street,700,34,0.8218715024770431,29665.0,142500.0
S023,Oakmere Market Square,Oakmere,24.426436438305164,49.158789759451714,High Street,2707,62,1.7292928294688727,112897.0,774800.0
S024,Tarnbrook Retail Park 2,Tarnbrook,95.14533362684276,135.84307871406187,High Street,2673,95,1.717312880534255,170611.0,1133700.0
S025,Tarnbrook Northgate,Tarnbrook,94.49024579073887,125.47069712147872,Retail Park,2657,74,2.1909139699836437,273861.0,1640400.0
S026,Ashcombe High Street,Ashcombe,155.0210367601326,153.23178650588815,Transport Hub,2342,11,1.373318407229365,169455.0,809800.0
S027,Quarrydale The Parade 2,Quarrydale,121.19707297946277,119.50001379357649,High Street,927,79,0.9591661723844751,53200.0,223400.0
S028,Ashcombe Northgate,Ashcombe,154.32211848742904,145.81019956637363,High Street,1881,79,1.4155129194768987,179561.0,763300.0
S029,Marlcombe Station,Marlcombe,197.5438413844311,159.47226952225296,High Street,1423,56,1.214123024339631,166146.0,1149500.0
S030,Pentworth Northgate,Pentworth,142.2367091026409,25.374376102891375,High Street,2278,68,1.5727313571971229,141767.0,718400.0
S031,Ashcombe Station,Ashcombe,151.58105360067546,147.10214488348197,Retail Park,2065,66,1.9072867882901017,610948.0,3299000.0
S032,Wrenfield The Parade,Wrenfield,115.09628473210418,67.66657683173555,High Street,1926,38,1.4340389769068635,136468.0,664400.0
S033,Quarrydale Market Square,Quarrydale,122.31640799006136,118.98329918943679,High Street,1633,72,1.3096112634188066,69021.0,293200.0
S034,Wrenfield Westway,Wrenfield,119.00917508877652,62.406247384136556,High Street,940,93,0.9665410851343516,128883.0,689200.0
