site_id,name,town,x,y,fmt,sqft,opened_month,attract
P001,Oakmere Station,Oakmere,28.22228441995471,54.54810929580667,High Street,1444,63,1.2239451515474458
P002,Tarnbrook Market Square,Tarnbrook,103.25447163510727,124.5415457833093,High Street,2034,91,1.4777229618144705
P003,Elmsford High Street,Elmsford,100.76264252261386,92.40408006316812,High Street,2196,75,1.5413376418346483
P004,Pentworth Northgate,Pentworth,136.02480455334845,30.11721813460393,High Street,1448,60,1.2258087272495497
P005,Ledbury Cross Westway,Ledbury Cross,83.7175502079262,174.65171956121458,High Street,1111,56,1.059601909873337
P006,Ravensmoor Riverside,Ravensmoor,159.76476971249394,53.5317514750633,High Street,3315,31,1.933151732488196
P007,Stanbury Retail Park,Stanbury,183.37621516583178,89.50827250900396,High Street,1155,63,1.082480524150273
P008,Quarrydale High Street,Quarrydale,120.37554413942557,115.04664069352626,Retail Park,1600,25,1.6575855804903423
P009,Ashcombe The Parade,Ashcombe,159.09905815818638,152.81262390394764,Retail Park,1676,69,1.7004375138937764
P010,Wrenfield The Parade,Wrenfield,122.05104347528257,59.82458913049196,Retail Park,1346,8,1.507248126062174
P011,Cotterill Northgate,Cotterill,10.169244265852585,149.74711990430555,High Street,1988,55,1.4592476716621716
P012,Ravensmoor Station,Ravensmoor,160.08619448398804,44.938188459885815,Retail Park,2090,54,1.9199522466975987
P013,Pentworth Northgate 2,Pentworth,144.71311766338914,23.29769825226573,High Street,700,16,0.8218715024770431
P014,Tarnbrook High Street,Tarnbrook,96.39730757258937,127.93030224854382,Transport Hub,1364,31,1.0201084732314087
P015,Halewood Station,Halewood,51.154820600556846,117.43082842500112,Retail Park,3186,20,2.4210019762484007
P016,Oakmere Riverside,Oakmere,29.48591005164796,64.33090382689372,High Street,2266,72,1.5681693021872145
P017,Tarnbrook Market Square 2,Tarnbrook,93.55226212424826,133.9932768422617,Retail Park,797,44,1.1298272532704625
P018,Ravensmoor Station 2,Ravensmoor,161.99190663329497,49.43035692271342,High Street,700,30,0.8218715024770431
P019,Oakmere Market Square,Oakmere,28.281112281596823,43.634670317427265,High Street,1630,32,1.3082874712762476
P020,Quarrydale Westway,Quarrydale,123.08658075876313,121.31638086600356,High Street,2299,57,1.580689011451801
P021,Tarnbrook Retail Park,Tarnbrook,92.69610957877538,139.3262385855829,High Street,1645,73,1.314895521732775
P022,Marlcombe Westway,Marlcombe,190.16215295376503,159.39393845199768,Transport Hub,1490,43,1.0709048831194543
P023,Cotterill Station,Cotterill,11.047055316550274,149.51664262884114,Retail Park,700,30,1.0519955231706153
P024,Oakmere Riverside 2,Oakmere,31.19120827043128,59.97038615197788,High Street,1572,25,1.282474970513916
P025,Ashcombe High Street,Ashcombe,149.31254864805328,153.10908748151306,High Street,1743,23,1.3574178720645613
P026,Elmsford High Street 2,Elmsford,88.07741829158584,83.68597956168858,High Street,2252,29,1.562833141797432
P027,Oakmere Station 2,Oakmere,25.163749502027823,55.64914031151992,High Street,700,82,0.8218715024770431
P028,Wrenfield Station,Wrenfield,108.82652987427598,61.44561081071959,Retail Park,2703,1,2.2116952987067893
P029,Wrenfield Riverside,Wrenfield,113.62862130256542,61.77292648180778,Transport Hub,700,61,0.706809492130257
P030,Wrenfield Station 2,Wrenfield,116.45853946782427,69.99726612131346,High Street,1455,4,1.2290644194270643
P031,Tarnbrook Northgate,Tarnbrook,92.05991927064733,129.01646508318962,Retail Park,2298,80,2.0227978485357823
P032,Oakmere High Street,Oakmere,21.75774789553106,53.6517636802823,High Street,1323,72,1.1664279409227005
P033,Pentworth Station,Pentworth,131.51582713052716,31.78663712817044,High Street,1954,65,1.445468086627955
P034,Ledbury Cross Westway 2,Ledbury Cross,66.47982260921256,178.55358878813593,Transport Hub,1967,34,1.2476444792146537
P035,Wrenfield Retail Park,Wrenfield,111.13271962976407,63.576726528296156,High Street,1295,30,1.1527851481469085
P036,Netherby Retail Park,Netherby,60.7527521112926,22.42556035901767,Transport Hub,835,33,0.7788001253691343
P037,Quarrydale Westway 2,Quarrydale,123.33752362023245,112.85661110780535,Transport Hub,819,26,0.7705566932923482
P038,Ledbury Cross Retail Park,Ledbury Cross,70.48735448361975,165.83365396714996,High Street,1659,59,1.3210386142191632
P039,Tarnbrook The Parade,Tarnbrook,94.11024577466469,128.95007357829394,High Street,2188,58,1.5382468156248876
P040,Halewood Retail Park,Halewood,54.02399983042953,101.2600233243981,Retail Park,1388,77,1.5329365384683886
